haalmikahBarmaid;Barmaid
haalmikahWellLadyLine2;Many preparations use water and it can also be used as a substitue to basic potions, although its effectiveness is inferior.
huntersClanVeteran;Veteran
huntersClanVeteranLine1;One should always use the most appropriate weapon type when fighting. But one should also consider elemental affinities.
huntersClanVeteranLine2;Most enemies have a weakness. Syblings usually share the same affinities.
haalmikahItemMerchant;Merchant
haalmikahItemMerchantLine1;Welcome! Please have a look!
haalmikahItemMerchantLine2;See you next time!
haalmikahItemShopCustomer;Customer
haalmikahItemShopCustomerLine1;Here you can only find pre-made products. But some merchants also offer crafting services!
haalmikahItemShopCustomerLine2;I have heard that some tools even allow to craft things in the wild!
haalmikahOldMan;Old Man
haalmikahOldManLine1;Oh, my lord! I heard you were practicing your combat skills with Captain Warlok.
haalmikahOldManLine2;Before venturing outside, please consider checking out the various shops in town.
haalmikahOldManLine3;You can also find food at the tavern to prepare your next battle.
haalmikahRegular1;Regular
haalmikahRegular1Line1;Since dice have no place here anymore, most of my friends go to the nearest village, Farment. But going through the Gramont Woods just for a dice roll? Hell nah!
haalmikahSoldierNearBarracks;Soldier
haalmikahSoldierNearBarracksLine1;My lord! May this beautiful day be filled with greatness and prowesses!
haalmikahSoldierNearBarracksLine2;The militia watches out for the Ulyomnian enemy! It never sleeps.
haalmikahTownsman1;Townsman
haalmikahTownsman1Line1;His Majesty has felt... easily upset since Lady Alynea passed away. You know it better, right?
haalmikahWeaponMerchant;Shopkeeper
haalmikahWeaponMerchantLine1;The finest weapons! Please have a look!
haalmikahWeaponMerchantLine2;Those blades will not disappoint.
haalmikahItemShop;Item Merchant
haalmikahWeaponShop;Weapon Merchant
sageAberoth;Counselor Aberoth
pernambulisSoldier;Pernambulian Soldier
dagner;Dagner
judge;Judge
gamera;Gamera
joachim;Joachim
louga;Louga
warlok;Warlok
introText1;So you did dare to tread these Ulyomnian lands after all. Dagner, look! This is the cost of your thirst for conquest!
introText2;No Pernambulian business around! Opposition shall result in a bloodbath, close enough to what we witnessed today.
introText3;Now, withdraw what remains of your troops, or else the slaughter shall go on.
introText4;Let's get back to Pernambulis, my General.
introText5;There is no going back for your kind. Weaklings are not going back.
introText6;Weaklings do not know... They do not know the way of conquest. YOU do not know.
introText7;My General, I...
introText8;In the South, Pernambulis. In the North, Ulyomnis. At war for three decades.
introText9;A war to quench thirst of two men: Ulyomnian Emperor Terrakion IV, and Pernambulian King Aërnold Gravis.
introText10;The thirst for power... The power of Novus crystals. And the large and unstable power they provide.
introText11;Pernambulis claims ownership of the flying crystal structure, given it is mostly located on its territory. But Ulyomnis disagrees.
introText12;A war that revolves around supreme power. Such great power... Meaningless compared to what may exist.
introText13;This would be Dagner's last battle leading the army of Pernambulis.
introText14;Godfried Henri Markus Dagner, General of the Army of Pernambulis. The present trial shall decide your punishment for your barbarian acts and behaviour.
introText15;You are more a butcher than a war leader, seeking nothing but to quench thirst for conquest. Slaying both enemies and allies alike.
introText16;What use of an army who cannot fight? What use of a bunch of weaklings on a battlefield? Better just get rid of them.
introText17;Too much blood was shed in the name of your judgement for... weaklings. That blood will serve you no longer.
introText18;It is time you question your deeds, your acts, your intentions. On your own. The Army of Pernambulis you shall no longer command. This cannot be contested.
introText19;The Great Book of Laws is clear on that matter: you shall bear the same punishment you inflicted to those poor souls on the battlefield, soon enough.
introText20;It was clear: Dagner would be executed. Motive: crime against Pernambulis. The man would be considered a threat to the kingdom. A few hours in a cell first...
introText21;A few hours to... think. Never did I agree with those barbarian punishments. My father never considered abolishing those, despite us arguing when dicussing their use...
introText22;Maybe I will not meet glory in the end... Maybe I will die as a weakling.
introText23;And now we even have illusions in my own damn cell... What a day!
introText24;As if glory... was an illusion!
introText25;I can free you from the fate drawn upon you. Trust me, follow me and glory shall be yours. You are hungry, thristy... I can feel it. Come, the way is ahead.
introText26;The General's deceased body was carried by the shore of Gornich Bay, up North. The depths of the Bay would act as a proper graveyard for traitors and criminals...
introText27;Dagner was not executed in blood. No... They opted for a slow agony, a man paralyzed with every bit inside slowly getting torn apart by torture spells. Much less bloody than what the General was used to.
introText28;Some may have even said he was just sleeping... Sleeping in the depths. The cold, cold depths.
introText29;My Lord, I am finally here. I know you were expecting me.
introText30;Gamera... You know about my patience, don't you?
introText31;My Lord...
introText32;You know why I asked you to come here, don't you?
introText33;Yes, my Lord... But, wouldn't there be another way...?
introText34;What is your point Gamera? Feable creatures from your world have no meaningful lives to care for.
introText35;I beg your pardon?
introText36;I... accomplished so much for you, my Lord. All my duties, even the most disgusting ones... Without even a bit of recognition from you?!
introText37;What did you expect from me? Compassion? Praise? You are such a foolish creature.
introText38;And now you are doubting. Doubting me and yourself. What were you of use all this time anyway, right? Did you even think of it?
introText39;Lord Dagner, I...
introText40;Silence!
introText41;Doubting life and death is like doubting my power. None shall doubt it! Because it exists, and it is large and great!
introText42;Now, begone! Weakling!
introText43;I will have to finish the job myself. The conquest goes on, Gravis. You better be prepared.
introText44;Gamera was once among my father's men. Although some... controversial events led him to leave and explore other realms.
introText45;Maybe life at the castle was a better plan in the end? Because life could have actually gone on by our side.
introText46;I was about to do the same mistake. A mistake which would not be the first... nor the last. I was foolish and young. But it still led me to where I am today.
introText47;Dagner... You have come back.
introText48;Joachim, I would like a word.
introText49;Be my guest.
introText50;The troops are doubting our power. I am worried they might commit mistakes.
introText51;Are you doubting, you too?
introText52;They believe they are more than just pawns, that they have a right to make history. So I had to deal with some of them.
introText53;You do not have to bother with their thoughts. They do not know anything. They do not matter. And you should not care about them. At all.
introText54;Oh, and about Gravis... Just take care of the old man. The rest is my business. And you shall not mind it.
introText55;Can you take on this alone? That's quite a task...
introText56;Only weaklings seek for help. Am I mistaken?
introText57;I recently had a talk with my father about the recent events, the execution and whatnot. Coming to our usual disagreement, I decided to take a breath and went outside to change my mind.
introText58;My father was convinced there was no other way to treat criminals. Perhaps something could be done so those people could reflect on their acts?
introText59;Maybe my thoughts and acts were immature. Maybe things would have been different if they were not...?
introText60;J'entends beaucoup dire, sir, que sa Majesté votre Père est très... remué lorsqu'on remet ses idées en question, comme vous dites.
introText61;Vous n'avez pas idée, capitaine. Vous n'avez pas idée... Il n'y avait que Mère qui avait le don pour le calmer... et le raisonner, accessoirement.
introText62;J'avais besoin d'air. Depuis l'exécution du général Dagner, nous ne nous adressons plus un mot.
introText63;Je pense que sa Majesté est tourmenté car il n'aurait jamais dû donner du pouvoir à cet homme. Et selon vos dires, il n'aime pas se remettre en question.
introText64;Dites-moi... Seriez-vous partant pour une petite session en extérieur ? Vous m'aviez parler d'une envie d'apprendre à manier le fer.
introText65;Je pourrais vous montrer quelques gestes qui pourraient vous servir, l'envie vous prendrait de vous promener en terre moins paisible qu'ici.
introText66;Je vous remercie de votre bonne mémoire, capitaine. Je vous suis.
introText67;Alors partons. Nous avons du pain sur la planche. Et de la vermine à chasser.
introText68;Je vous laisse vous préparer, sir. Retrouvez-moi à l'entrée de la forteresse dès que vous serez prêt.
introText69;Oh et ne vous tracassez pas pour votre équipement. J'emmène ce qu'il faut sur le terrain.
quest0Dialog0;Ah there you are! Follow me to the grove. Just head west, then south. I'll be waiting there.
quest0Dialog1;I can see your sense of orientation is decent. But how about your combat skill?
quest0Dialog2;Take this sword. You'll need it soon enough.
quest0Dialog3;Now you need to equip it. Open the Main menu and access your Equipment tab.
quest0DialogNoWeaponEquipped;You need to equip your new weapon through the Equipment tab of the main menu before we can proceed.
quest0DialogNoWeaponInInventory;What do you mean you LOST your weapon?! Ok take this one then...
quest0Dialog4;Let's take care of that rat over there.
